rank,pokemon,points,share_pct
1,Incineroar,3012,49.01
2,Calyrex-Shadow,2444,39.77
3,Miraidon,2287,37.21
4,Zamazenta,1836,29.87
5,Calyrex-Ice,1735,28.23
6,Urshifu-RS,1696,27.6
7,Amoonguss,1685,27.42
8,Rillaboom,1635,26.6
9,Raging Bolt,1527,24.85
10,Chien-Pao,1364,22.19
11,Koraidon,1195,19.44
12,Lunala,1070,17.41
13,Flutter Mane,1001,16.29
14,Iron Hands,947,15.41
15,Whimsicott,875,14.24
16,Grimmsnarl,871,14.17
17,Ursaluna,812,13.21
18,Chi-Yu,792,12.89
19,Kyogre,679,11.05
20,Volcarona,624,10.15
21,Farigiraf,620,10.09
22,Brute Bonnet,560,9.11
23,Smeargle,541,8.8
24,Ogerpon-Cornerstone,532,8.66
25,Terapagos,502,8.17
